VMag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
6.84,21.86,0.53,0.5760000000000001,F8/G0V,18.53825,1
7.96,7.76,0.84,0.18100000000000002,A4V,17.40931,1
7.26,12.38,1.08,0.424,F3V,17.723602,1
8.4,22.59,0.82,0.7140000000000001,G6V,20.16958,1
9.83,4.59,1.67,0.5589999999999999,F7/F8IV,18.139065,1
9.12,3.97,1.13,0.535,F7V,17.113953,1
8.44,7.04,1.3,0.5329999999999999,F7V,17.677864000000003,1
8.58,16.89,1.41,0.648,G8/K0V:+...,19.718147000000002,1
6.91,1.07,0.56,-0.023,B1V,12.056919,1
8.07,16.11,0.92,0.517,F7V,19.105478,1
10.3,0.63,1.67,0.254,F0/F2V,14.296702999999999,1
7.91,31.35,1.28,0.799,K0V,20.391188,1
8.68,7.95,1.08,0.588,G2V,18.181835,1
8.87,3.55,1.12,0.545,F7V,16.621141,1
7.46,11.74,0.83,0.368,F2V,17.80834,1
9.26,3.98,1.36,0.433,F3V,17.259415,1
8.65,4.33,1.16,0.061,A1V,16.83244,1
9.24,1.99,1.22,0.133,A3IV/V,15.734264999999999,1
9.55,4.78,1.13,0.473,F5V,17.94714,1
7.58,13.76,1.03,0.516,F6V,18.273092000000002,1
9.07,17.5,1.23,0.7340000000000001,G5/G6V,20.28519,1
5.8,3.56,0.73,-0.095,B7III-IV,13.55725,1
8.75,1.62,1.07,0.7559999999999999,G8IV,14.797575,1
5.92,23.46,1.02,0.302,F2Vw,17.771639999999998,1
8.9,8.46,1.38,0.57,G0V,18.53685,1
9.1,3.83,1.17,1.169,K1IV,17.015995,1
9.87,8.07,1.72,0.623,G2/G3V,19.404367,1
8.4,15.59,1.43,0.5660000000000001,G2V,19.364231,1
8.47,23.55,1.01,0.446,F5V,20.329956,1
9.12,41.45,1.01,1.025,K4V,22.207623,1
9.55,45.4,1.55,1.2670000000000001,K4V,22.835279999999997,1
7.95,11.36,1.08,0.818,G8IV,18.22689,1
9.74,3.78,1.43,0.46299999999999997,F3V,17.627458999999998,1
8.01,7.14,1.01,0.988,G8III/IV,17.278492,1
8.16,7.28,0.99,0.488,F2/F3V,17.470657,1
8.85,3.09,1.15,0.048,A1V,16.299792999999998,1
6.91,22.23,0.64,0.65,G1/G2V,18.644697,1
9.23,2.6,1.32,0.32,B9V,16.304867,1
9.43,16.47,2.47,0.6679999999999999,K0V,20.51347,1
8.74,3.43,0.8,0.10400000000000001,A3V,16.41647,1
9.44,5.68,4.61,0.439,F3V,18.211742,1
7.5,8.63,1.04,0.488,F5/F6V,17.180054000000002,1
9.9,2.76,1.31,0.451,F3IV,17.104546,1
10.71,1.62,2.07,0.444,F7/F8V:,16.757576,1
9.27,16.21,1.36,0.804,K0V,20.318916,1
6.44,5.67,0.67,0.94,G8IV,15.207916,1
8.49,9.73,1.5,0.614,G0V,18.430564999999998,1
8.75,5.78,1.93,0.493,F5V,17.559639,1
8.81,4.94,1.14,0.157,A4IV,17.278637,1
8.72,3.68,0.92,1.192,K2III/IV,16.54924,1
9.21,7.62,1.3,0.40399999999999997,F2V,18.619774,1
9.22,8.43,1.11,0.514,F5V,18.849135999999998,1
8.68,9.91,1.15,0.45,F2V,18.66037,1
8.65,7.85,1.11,0.502,F5V,18.124348,1
8.51,7.73,1.21,0.5589999999999999,F7V,17.950897,1
8.74,-0.73,1.49,1.021,G8III/IV,13.056614,1
9.79,3.91,2.45,0.711,F8IV/V,17.750885,1
9.48,6.33,1.54,0.395,F2/F3V,18.487019,1
8.17,8.3,1.08,0.361,F0V,17.76539,1
8.64,10.08,1.71,0.9690000000000001,K0IV,18.657303,1
7.88,8.55,1.56,0.615,F7/F8V,17.53983,1
8.68,7.89,2.34,0.529,F5V,18.165385999999998,1
7.51,5.66,0.82,1.112,K1III-IV,16.274082,1
9.06,6.43,1.25,0.40399999999999997,F0V,18.101055,1
8.68,2.07,0.8,-0.052000000000000005,B9V,15.259851000000001,1
9.29,7.89,1.37,0.657,G5V,18.775385,1
7.94,16.94,0.61,0.522,F7V,19.084566,1
9.45,0.63,1.15,1.415,K3V,13.446703,1
6.7,1.66,0.61,-0.017,B1V,12.80054,1
8.16,7.89,1.06,0.424,F2V,17.645386,1
10.38,6.07,1.75,0.3,A8/A9V,19.295944,1
9.53,5.26,1.39,0.94,G8IV,18.134929999999997,1
8.08,12.7,0.94,0.42100000000000004,F3V,18.599018,1
9.36,2.79,1.4,0.586,F7V,16.58802,1
9.93,4.25,2.39,0.539,G2V,18.071945,1
8.89,16.87,1.39,0.774,G8V,20.025578,1
10.95,1.57,3.06,0.37,A0V,16.929499,1
9.51,13.04,2.32,0.677,G6V,20.086389999999998,1
8.95,32.38,0.87,0.888,K1V,21.501385,1
9.91,2.46,1.19,0.449,F0V,16.864676,1
8.36,10.72,0.83,0.45299999999999996,F5V,18.510975,1
9.31,10.55,1.26,0.632,G5V,19.426262,1
9.65,3.58,0.93,0.466,F0/F2IV/V,17.419415,1
8.62,8.15,1.18,0.365,F0V,18.175789,1
9.21,12.92,1.39,0.662,G3V,19.766312,1
9.85,4.39,1.85,0.652,G3V,18.062323000000003,1
8.2,8.59,0.86,0.8370000000000001,G8IV,17.869965,1
8.3,8.6,1.11,1.011,K0/K1IV,17.972492000000003,1
6.89,11.5,1.09,0.292,A9V,17.19349,1
7.64,4.43,0.73,-0.048,B9V,15.872019,1
9.32,7.88,1.1,0.423,F5V,18.802630999999998,1
9.63,7.02,1.47,0.586,G0V,18.861687,1
8.85,7.79,2.24,0.631,G3:V: + G2:,18.307688,1
7.57,10.89,0.82,0.43,F3V,17.755138,1
